Bitcoin,Bitcoin,Bitcoin
Date,Price,Volume
4/16/2013,93.07,27937764
4/17/2013,109.010002,16845410
4/18/2013,118.480003,30713924
4/19/2013,126.620003,9222871
4/20/2013,119.199997,12044404
4/21/2013,127.400002,7289977
4/22/2013,143.479996,15637961
4/23/2013,154.199997,34351545
4/24/2013,141.710007,26847891
4/25/2013,136.899994,17061324
4/26/2013,128,7855443
4/27/2013,134.440002,3665399
4/28/2013,144,9987126
4/29/2013,139.229996,9124397
4/30/2013,116.379997,21790982
5/1/2013,106.25,24937319
5/2/2013,98.099998,22502892
5/3/2013,112.900002,14147864
5/4/2013,115.980003,9557650
5/5/2013,112.25,17607427
5/6/2013,109.599998,14904474
5/7/2013,113.199997,6996024
5/8/2013,112.800003,3010117
5/9/2013,117.699997,9145408
5/10/2013,115.639999,3240171
5/11/2013,114.82,2361969
5/12/2013,117.980003,3063381
5/13/2013,111.400002,10082102
5/14/2013,114.220001,13006447
5/15/2013,118.209999,5222066
5/16/2013,123.5,9608029
5/17/2013,123.209999,2804847
5/18/2013,122.5,2507881
5/19/2013,122.019997,2118341
5/20/2013,122.889999,1637410
5/21/2013,123.800003,2252949
5/22/2013,126.300003,2772751
5/23/2013,133.100006,6333389
5/24/2013,131.990005,2203681
5/25/2013,133.5,3130389
5/26/2013,129.770004,6056707
5/27/2013,129,2918762
5/28/2013,132.25,2509796
5/29/2013,128.800003,3195601
5/30/2013,128.820007,2124938
5/31/2013,129.300003,816323
6/1/2013,122.5,12335011
6/2/2013,120.739998,3439235
6/3/2013,121.400002,2657125
6/4/2013,121.900002,2021380
6/5/2013,118.970001,2646311
6/6/2013,111,7372031
6/7/2013,107.889999,1874098
6/8/2013,100.440002,14647793
6/9/2013,106.349998,6786321
6/10/2013,109,1727992
6/11/2013,108.779999,1934487
6/12/2013,103.949997,3204375
6/13/2013,100,3629511
6/14/2013,99.800003,2264105
6/15/2013,99.900002,865174
6/16/2013,101.949997,1534858
6/17/2013,107.349998,6510457
6/18/2013,108.25,1895919
6/19/2013,111.290001,4795256
6/20/2013,109.5,4241011
6/21/2013,108.199997,791157
6/22/2013,107.900002,1188748
6/23/2013,102.089996,2986235
6/24/2013,103.330002,9760027
6/25/2013,104,1378467
6/26/2013,101.739998,1505488
6/27/2013,94.660004,4625623
6/28/2013,95,2469705
6/29/2013,97.510002,831721
6/30/2013,88.050003,4854051
7/1/2013,90.410004,2501192
7/2/2013,78.889999,6126930
7/3/2013,80.040001,4976159
7/4/2013,68.5,6478104
7/5/2013,69.660004,2885730
7/6/2013,76.5,3040545
7/7/2013,76,4542089
7/8/2013,76.699997,2462927
7/9/2013,88,4950378
7/10/2013,88.980003,3115116
7/11/2013,93.989998,9793701
7/12/2013,98.32,3206472
7/13/2013,94.419998,1183919
7/14/2013,98.889999,3407701
7/15/2013,97.099998,1626929
7/16/2013,98.5,1702482
7/17/2013,90.07,5415947
7/18/2013,92,2547076
7/19/2013,89.82,865043
7/20/2013,92,785274
7/21/2013,91.599998,839143
7/22/2013,95.559998,2333940
7/23/2013,95.089996,1382398
7/24/2013,96.949997,2171816
7/25/2013,96.019997,1079418
7/26/2013,94.400002,1430771
7/27/2013,98.779999,4160191
7/28/2013,101.480003,2499727
7/29/2013,107.959999,2893318
7/30/2013,106.209999,4916334
7/31/2013,104,1580804
8/1/2013,104.5,2893759
8/2/2013,104.949997,923169
8/3/2013,105.120003,670427
8/4/2013,106.720001,1647464
8/5/2013,106.559998,1424757
8/6/2013,105.989998,819975
8/7/2013,103.050003,2481342
8/8/2013,102.800003,1238426
8/9/2013,103,411941
8/10/2013,105,853962
8/11/2013,106.809998,2131117
8/12/2013,109.599998,2014623
8/13/2013,112.559998,5689765
8/14/2013,109.989998,1759713
8/15/2013,108.989998,1484874
8/16/2013,112.75,1430522
8/17/2013,113.379997,1093513
8/18/2013,118.5,6273089
8/19/2013,121.199997,2926824
8/20/2013,123.300003,3760529
8/21/2013,122,1695452
8/22/2013,118.510002,2324780
8/23/2013,119.599998,1068849
8/24/2013,122.110001,904128
8/25/2013,120.07,1386290
8/26/2013,131.289993,6882690
8/27/2013,128.759995,1627390
8/28/2013,129.300003,1059179
8/29/2013,138.029999,6269713
8/30/2013,141,4452962
8/31/2013,146.009995,2035993
9/1/2013,144,1546327
9/2/2013,144,2461257
9/3/2013,132.509995,3945752
9/4/2013,130.199997,3561373
9/5/2013,121.900002,2435581
9/6/2013,128.990005,1796862
9/7/2013,126.32,926689
9/8/2013,133.100006,3908439
9/9/2013,132.619995,1184452
9/10/2013,142.100006,5706218
9/11/2013,139.350006,2886300
9/12/2013,140.660004,2869985
9/13/2013,136.710007,1237692
9/14/2013,138.300003,886151
9/15/2013,139.419998,1480693
9/16/2013,139.149994,1344189
9/17/2013,140.410004,1328386
9/18/2013,135.050003,2862334
9/19/2013,133.809998,1484557
9/20/2013,134.380005,682674
9/21/2013,134,782376
9/22/2013,133.399994,799461
9/23/2013,134.779999,1148734
9/24/2013,135,1293657
9/25/2013,137.100006,886908
9/26/2013,138.929993,3757634
9/27/2013,142.5,1918884
9/28/2013,143.880005,2611317
9/29/2013,141.899994,2067367
9/30/2013,140.300003,1344565
10/1/2013,123,13888930
10/2/2013,130.990005,4488527
10/3/2013,136.820007,2491501
10/4/2013,136.699997,679668
10/5/2013,137.800003,665512
10/6/2013,135.800003,1006277
10/7/2013,136.490005,707471
10/8/2013,139.5,2431349
10/9/2013,140.410004,1551392
10/10/2013,140.100006,1013106
10/11/2013,142.889999,1559472
10/12/2013,147.529999,2342049
10/13/2013,151.369995,4512823
10/14/2013,158.089996,2416464
10/15/2013,152.820007,6636228
10/16/2013,157.589996,2470394
10/17/2013,168.279999,4225505
10/18/2013,183.149994,10000685
10/19/2013,186.100006,2087108
10/20/2013,192.779999,4613540
10/21/2013,202.990005,6761835
10/22/2013,227.970001,8526441
10/23/2013,206.979996,19649229
10/24/2013,197.880005,6934330
10/25/2013,188.559998,2322934
10/26/2013,206.910004,2633454
10/27/2013,206.899994,2287257
10/28/2013,216,2119311
10/29/2013,208,2853902
10/30/2013,211.169998,1121246
10/31/2013,213.429993,1251780
11/1/2013,211.690002,1041300
11/2/2013,224,2694954
11/3/2013,238.160004,4167915
11/4/2013,251.300003,11094612
11/5/2013,264.100006,10223786
11/6/2013,309.649994,25582885
11/7/2013,355,15072022
11/8/2013,367.790009,18427776
11/9/2013,336.320007,24225281
11/10/2013,362.980011,6330618
11/11/2013,380.040009,8309810
11/12/2013,434.850006,14780190
11/13/2013,433.399994,13453174
11/14/2013,433.920013,12273745
11/15/2013,461.959991,8737836
11/16/2013,528.299988,13340495
11/17/2013,785.429993,45461600
11/18/2013,645.690002,69095497
11/19/2013,637.969971,50748177
11/20/2013,764.909973,27128283
11/21/2013,802,22686962
11/22/2013,832.5,17908081
11/23/2013,795.01001,20776035
11/24/2013,829.98999,21438670
11/25/2013,969.960022,28285852
11/26/2013,1079.890015,37868643
11/27/2013,1101.380005,42912383
11/28/2013,1206.930054,45030632
11/29/2013,1205.660034,18266602
11/30/2013,1004.390015,83244488
12/1/2013,1096.560059,39234863
12/2/2013,1154.859985,21865760
12/3/2013,1237.550049,19409766
12/4/2013,1106.349976,62292919
12/5/2013,845.02002,50747162
12/6/2013,697.02002,70727083
12/7/2013,803.960022,23044397
12/8/2013,918.950012,24553208
12/9/2013,1033.719971,21734994
12/10/2013,919.929993,23051224
12/11/2013,899.97998,8798283
12/12/2013,936.77002,16173632
12/13/2013,908.940002,10532106
12/14/2013,919.880005,13302074
12/15/2013,759.919983,32899151
12/16/2013,714.969971,22933905
12/17/2013,540.97998,62529030
12/18/2013,731.950012,29980041
12/19/2013,649.960022,24291048
12/20/2013,640.47998,9550420
12/21/2013,639.48999,7693603
12/22/2013,713.23999,10210388
12/23/2013,702.75,7647250
12/24/2013,707.25,3721814
12/25/2013,801.97998,18209291
12/26/2013,803.049988,11073604
12/27/2013,761.98999,10127883
12/28/2013,784.960022,5448579
12/29/2013,804.830017,8411786
12/30/2013,805.940002,7294004
12/31/2013,815.940002,8663855
1/1/2014,856.909973,10826907
1/2/2014,884.26001,8409629
1/3/2014,924.690002,12784626
1/4/2014,1014.73999,20789364
1/5/2014,1012.650024,23622237
1/6/2014,879.900024,21753921
1/7/2014,938.840027,12942254
1/8/2014,936.950012,13202619
1/9/2014,957.76001,5909107
1/10/2014,1005.320007,10948175
1/11/2014,939.789978,9620090
1/12/2014,922.909973,9220891
1/13/2014,919.280029,3960633
1/14/2014,941.219971,6448062
1/15/2014,913.48999,4720008
1/16/2014,894.159973,9203107
1/17/2014,905.719971,5493742
1/18/2014,954.799988,7071649
1/19/2014,955.950012,9981282
1/20/2014,962.210022,6289022
1/21/2014,950.950012,4503428
1/22/2014,944.159973,1839615
1/23/2014,916.549988,5684047
1/24/2014,961.049988,7797108
1/25/2014,1007,13054605
1/26/2014,943.539978,8052715
1/27/2014,932.679993,9757613
1/28/2014,925.669983,5254878
1/29/2014,941.390015,5026461
1/30/2014,938.849976,4024749
1/31/2014,940.419983,4118865
2/1/2014,953.309998,1495327
2/2/2014,931.710022,2601784
2/3/2014,926.640015,4250751
2/4/2014,904.52002,6865987
2/5/2014,828.869995,15719958
2/6/2014,695.650024,36412212
2/7/2014,648.780029,15503790
2/8/2014,659.570007,13186251
2/9/2014,582.630005,24334044
2/10/2014,578.960022,9621820
2/11/2014,531.130005,11628634
2/12/2014,451.440002,14394464
2/13/2014,427.679993,25084223
2/14/2014,371.070007,18299075
2/15/2014,299.799988,26267622
2/16/2014,272.279999,16532226
2/17/2014,293.950012,14130126
