Ethereum,Ethereum,Ethereum
Date,Price,Volume
8/6/2015,3,371
8/7/2015,1.2,1438
8/8/2015,1.2,0
8/9/2015,1.2,0
8/10/2015,0.99,7419
8/11/2015,1.29,2376
8/12/2015,1.88,4923
8/13/2015,1.79,11070
8/14/2015,1.79,14812
8/15/2015,1.37,10794
8/16/2015,1.3,6063
8/17/2015,1.36,2867
8/18/2015,1.24,4769
8/19/2015,1.52,1771
8/20/2015,1.44,9197
8/21/2015,1.4,321
8/22/2015,1.35,438
8/23/2015,1.24,6460
8/24/2015,1.27,1188
8/25/2015,1.18,2337
8/26/2015,1.14,269
8/27/2015,1.3,26922
8/28/2015,1.18,383
8/29/2015,1.32,10975
8/30/2015,1.31,3959
8/31/2015,1.36,1220
9/1/2015,1.14,698
9/2/2015,1.23,3717
9/3/2015,1.35,18
9/4/2015,1.37,10437
9/5/2015,1.34,145
9/6/2015,1.28,526
9/7/2015,1.26,103
9/8/2015,1.21,27
9/9/2015,1.19,3361
9/10/2015,0.9242,3066
9/11/2015,1.15,513
9/12/2015,0.8856,3817
9/13/2015,0.955,805
9/14/2015,0.95,2273
9/15/2015,0.9363,47
9/16/2015,0.875,129
9/17/2015,0.8523,593
9/18/2015,0.89,3
9/19/2015,0.8871,12
9/20/2015,0.9412,171
9/21/2015,0.8059,175
9/22/2015,0.91,13
9/23/2015,0.8,568
9/24/2015,0.6823,2184
9/25/2015,0.7703,58
9/26/2015,0.7008,10
9/27/2015,0.6,3491
9/28/2015,0.6816,11590
9/29/2015,0.7137,529
9/30/2015,0.6548,457
10/1/2015,0.6647,266
10/2/2015,0.6796,34
10/3/2015,0.6095,533
10/4/2015,0.6078,35
10/5/2015,0.6511,15
10/6/2015,0.6,1236
10/7/2015,0.62,3673
10/8/2015,0.6352,1298
10/9/2015,0.6351,0
10/10/2015,0.5993,8
10/11/2015,0.63,13
10/12/2015,0.6017,471
10/13/2015,0.5,1538
10/14/2015,0.56,128
10/15/2015,0.525,210
10/16/2015,0.523,855
10/17/2015,0.505,534
10/18/2015,0.5,780
10/19/2015,0.44,682
10/20/2015,0.42,707
10/21/2015,0.609,1759
10/22/2015,0.5649,2166
10/23/2015,0.5561,156
10/24/2015,0.62,902
10/25/2015,0.706,1190
