times,device_local_time,pm,tmp,hum,co2,voc,global
1459454429,3/31/16 16:00,3.9190369,22.857,35.206,745,206,15.490465
1459454727,3/31/16 16:05,3.9190369,22.859,35.232,743,206,15.490465
1459455025,3/31/16 16:10,3.9190369,22.863,35.22,744,206,15.490465
1459455323,3/31/16 16:15,3.9190369,22.865,35.246,733,203,15.061894
1459455620,3/31/16 16:20,3.459015,22.866,35.24,732,203,14.601872
1459455918,3/31/16 16:25,4.3790283,22.861,35.259,735,203,15.521886
1459456216,3/31/16 16:30,5.299011,22.858,35.404,746,207,17.013298
1459456514,3/31/16 16:35,5.759033,22.853,35.632,751,208,17.616177
1459456811,3/31/16 16:40,6.2190247,22.854,36.062,754,209,18.219025
1459457109,3/31/16 16:45,6.2190247,22.846,36.036,754,209,18.219025
1459457407,3/31/16 16:50,6.2190247,22.839,36.055,761,211,18.504738
1459457705,3/31/16 16:55,5.759033,22.839,36.056,772,214,18.47332
1459458003,3/31/16 17:00,6.2190247,22.851,36.006,755,209,18.219025
1459458300,3/31/16 17:05,5.299011,22.858,36.027,750,208,17.156155
1459458598,3/31/16 17:09,5.299011,22.87,36.12,753,209,17.299011
1459458896,3/31/16 17:14,5.299011,22.871,36.193,754,209,17.299011
1459459194,3/31/16 17:19,6.679016,22.869,36.419,752,208,18.53616
1459459491,3/31/16 17:24,4.83902,22.87,36.543,757,210,16.981876
1459459789,3/31/16 17:29,5.759033,22.868,36.649,755,209,17.759033
1459460087,3/31/16 17:34,4.3790283,22.865,36.657,749,208,16.236172
1459460385,3/31/16 17:39,5.299011,22.86,36.643,744,206,16.87044
1459460682,3/31/16 17:44,5.759033,22.859,36.574,738,205,17.187605
1459460980,3/31/16 17:49,4.83902,22.854,36.511,736,204,16.124733
1459461278,3/31/16 17:54,5.759033,22.849,36.49,730,202,16.759033
1459461576,3/31/16 17:59,4.3790283,22.849,36.441,725,201,15.236171
1459461873,3/31/16 18:04,4.3790283,22.849,36.375,723,200,15.093314
1459462171,3/31/16 18:09,4.83902,22.846,36.358,722,200,15.553306
1459462469,3/31/16 18:14,4.83902,22.839,36.35,722,200,15.553306
1459462767,3/31/16 18:19,4.3790283,22.827,36.309,721,200,15.093314
1459463064,3/31/16 18:24,4.3790283,22.821,36.311,718,199,14.950457
1459463362,3/31/16 18:29,4.83902,22.81,36.318,717,199,15.410448
1459463660,3/31/16 18:34,3.9190369,22.8,36.326,714,198,14.347609
1459463958,3/31/16 18:39,4.3790283,22.792,36.324,712,197,14.664742
1459464255,3/31/16 18:44,4.3790283,22.784,36.322,708,196,14.521886
1459464553,3/31/16 18:49,3.9190369,22.773,36.313,704,195,13.919037
1459464851,3/31/16 18:54,4.3790283,22.766,36.265,702,195,14.379028
1459465149,3/31/16 18:59,3.9190369,22.759,36.271,700,194,13.776179
1459465446,3/31/16 19:04,4.3790283,22.755,36.284,692,192,13.950457
1459465744,3/31/16 19:09,3.9190369,22.754,36.282,688,191,13.347609
1459466042,3/31/16 19:14,4.3790283,22.753,36.283,687,190,13.664742
1459466340,3/31/16 19:19,4.3790283,22.749,36.292,685,190,13.664742
1459466637,3/31/16 19:23,4.3790283,22.743,36.291,684,189,13.521886
1459466935,3/31/16 19:28,4.3790283,22.734,36.328,681,188,13.379028
1459467233,3/31/16 19:33,3.9190369,22.727,36.33,676,187,12.776179
1459467530,3/31/16 19:38,4.3790283,22.72,36.361,674,187,13.236171
1459467828,3/31/16 19:43,3.459015,22.714,36.417,670,186,12.173301
1459468126,3/31/16 19:48,3.9190369,22.706,36.459,662,184,12.347609
1459468424,3/31/16 19:53,4.83902,22.7,36.462,659,182,12.981877
1459468721,3/31/16 19:58,3.9190369,22.693,36.465,655,182,12.061894
1459469019,3/31/16 20:03,4.3790283,22.691,36.467,649,180,12.236172
1459469317,3/31/16 20:08,3.9190369,22.684,36.467,647,179,11.633323
1459469615,3/31/16 20:13,3.9190369,22.674,36.467,646,179,11.633323
1459469912,3/31/16 20:18,4.3790283,22.666,36.474,641,178,11.950457
1459470210,3/31/16 20:23,3.9190369,22.645,36.496,641,178,11.490465
1459470508,3/31/16 20:28,4.3790283,22.634,36.51,638,177,11.8076
1459470806,3/31/16 20:33,5.299011,22.626,36.609,634,176,12.584725
1459471103,3/31/16 20:38,4.83902,22.617,36.889,627,174,11.83902
1459471401,3/31/16 20:43,6.679016,22.618,37.004,628,174,13.679016
1459471699,3/31/16 20:48,5.299011,22.623,37.169,633,176,12.584725
1459471996,3/31/16 20:53,5.299011,22.628,37.427,646,179,13.013297
1459472294,3/31/16 20:58,5.299011,22.636,37.555,664,184,13.727583
1459472592,3/31/16 21:03,4.3790283,22.644,37.662,667,185,12.950457
1459472890,3/31/16 21:08,6.679016,22.654,37.787,687,190,15.96473
1459473187,3/31/16 21:13,4.83902,22.649,37.8,694,192,14.410448
1459473485,3/31/16 21:18,4.83902,22.652,37.816,710,197,15.124734
1459473783,3/31/16 21:23,4.83902,22.652,37.827,709,197,15.124734
1459474080,3/31/16 21:28,4.83902,22.653,37.895,711,197,15.124734
1459474378,3/31/16 21:32,4.3790283,22.653,37.993,710,197,14.664742
1459474676,3/31/16 21:37,4.83902,22.653,38.078,712,197,15.124734
1459474973,3/31/16 21:42,4.83902,22.652,38.17,712,197,15.124734
1459475271,3/31/16 21:47,5.299011,22.652,38.21,711,197,15.584725
1459475569,3/31/16 21:52,4.3790283,22.653,38.323,702,194,14.236171
1459475867,3/31/16 21:57,4.83902,22.66,38.523,708,196,14.981877
1459476164,3/31/16 22:02,6.2190247,22.67,38.649,696,193,15.9333105
1459476462,3/31/16 22:07,4.83902,22.671,38.603,693,192,14.410448
1459476760,3/31/16 22:12,4.83902,22.662,38.588,698,193,14.553306
1459477058,3/31/16 22:17,6.2190247,22.655,38.593,693,192,15.790453
1459477355,3/31/16 22:22,5.299011,22.652,38.622,695,193,15.013297
1459477653,3/31/16 22:27,4.3790283,22.649,38.673,696,193,14.093314
1459477951,3/31/16 22:32,5.299011,22.649,38.789,695,192,14.87044
1459478249,3/31/16 22:37,6.2190247,22.646,38.923,699,194,16.076168
1459478546,3/31/16 22:42,4.83902,22.649,38.993,705,195,14.83902
1459478844,3/31/16 22:47,4.83902,22.651,39.025,703,195,14.83902
1459479142,3/31/16 22:52,5.299011,22.652,39.067,701,194,15.156154
1459479440,3/31/16 22:57,5.299011,22.659,39.257,698,193,15.013297
1459479737,3/31/16 23:02,4.83902,22.679,39.375,692,192,14.410448
1459480035,3/31/16 23:07,4.83902,22.693,39.409,687,190,14.124734
1459480333,3/31/16 23:12,4.3790283,22.708,39.392,690,191,13.8076
1459480631,3/31/16 23:17,4.83902,22.717,39.397,697,193,14.553306
1459480928,3/31/16 23:22,5.299011,22.725,39.405,693,192,14.87044
1459481226,3/31/16 23:27,5.759033,22.728,39.413,695,192,15.3304615
1459481524,3/31/16 23:32,4.83902,22.735,39.438,695,193,14.553306
1459481822,3/31/16 23:37,4.83902,22.741,39.454,694,192,14.410448
1459482120,3/31/16 23:42,5.299011,22.747,39.506,697,193,15.013297
1459482417,3/31/16 23:46,5.299011,22.75,39.556,694,192,14.87044
1459482715,3/31/16 23:51,4.83902,22.755,39.583,694,192,14.410448
1459483013,3/31/16 23:56,6.2190247,22.756,39.625,692,192,15.790453
1459483311,4/1/16 0:01,5.759033,22.762,39.875,681,189,14.901891
1459483609,4/1/16 0:06,4.83902,22.778,39.894,678,188,13.83902
1459483906,4/1/16 0:11,4.83902,22.791,39.763,679,188,13.83902
1459484204,4/1/16 0:16,5.299011,22.808,39.867,690,191,14.727583
1459484502,4/1/16 0:21,4.83902,22.813,39.921,695,193,14.553306
1459484800,4/1/16 0:26,6.2190247,22.813,39.926,694,192,15.790453
1459485097,4/1/16 0:31,4.83902,22.815,39.925,688,191,14.267591
1459485395,4/1/16 0:36,4.83902,22.821,39.99,688,191,14.267591
1459485693,4/1/16 0:41,5.299011,22.822,40.075,688,191,14.727583
1459485991,4/1/16 0:46,4.83902,22.826,40.108,682,189,13.981877
1459486288,4/1/16 0:51,5.759033,22.832,40.197,685,190,15.044747
1459486586,4/1/16 0:56,5.759033,22.833,40.394,684,190,15.044747
1459486884,4/1/16 1:01,6.2190247,22.843,40.48,690,191,15.647596
1459487182,4/1/16 1:06,5.759033,22.855,40.527,694,192,15.3304615
1459487479,4/1/16 1:11,6.679016,22.871,41.017,707,196,16.821873
1459487777,4/1/16 1:16,8.059021,22.89,42.167,764,211,20.344734
1459488075,4/1/16 1:21,6.679016,22.914,43.75,788,218,19.96473
1459488373,4/1/16 1:26,7.1390076,22.927,44.209,805,223,21.139008
1459488671,4/1/16 1:31,6.679016,22.935,43.846,792,219,20.107588
1459488968,4/1/16 1:36,5.759033,22.933,43.526,784,217,18.90189
1459489266,4/1/16 1:41,6.679016,22.922,43.395,775,215,19.53616
1459489564,4/1/16 1:46,6.2190247,22.908,43.302,766,212,18.647596
1459489862,4/1/16 1:51,5.759033,22.893,43.101,759,210,17.90189
1459490159,4/1/16 1:55,6.2190247,22.878,42.977,754,209,18.219025
1459490457,4/1/16 2:00,5.759033,22.865,42.896,750,208,17.616177
1459490755,4/1/16 2:05,5.759033,22.85,42.857,743,206,17.330462
1459491053,4/1/16 2:10,5.299011,22.836,42.854,739,205,16.727583
1459491351,4/1/16 2:15,5.759033,22.822,42.853,735,204,17.044746
1459491648,4/1/16 2:20,5.759033,22.807,42.858,732,203,16.90189
1459491946,4/1/16 2:25,5.299011,22.791,42.855,730,202,16.299011
1459492244,4/1/16 2:30,5.299011,22.774,42.86,725,201,16.156155
1459492542,4/1/16 2:35,5.759033,22.763,42.861,722,200,16.47332
1459492839,4/1/16 2:40,5.759033,22.762,42.895,717,198,16.187605
1459493137,4/1/16 2:45,5.759033,22.759,42.911,715,198,16.187605
1459493435,4/1/16 2:50,5.759033,22.754,42.921,710,196,15.901891
1459493733,4/1/16 2:55,6.2190247,22.749,42.834,711,197,16.504738
1459494030,4/1/16 3:00,4.83902,22.735,42.786,710,197,15.124734
1459494328,4/1/16 3:05,5.759033,22.721,42.753,707,196,15.901891
1459494626,4/1/16 3:10,5.759033,22.707,42.703,707,196,15.901891
1459494924,4/1/16 3:15,5.759033,22.693,42.659,706,196,15.901891
1459495222,4/1/16 3:20,5.759033,22.683,42.667,702,194,15.616176
1459495519,4/1/16 3:25,5.759033,22.664,42.672,698,194,15.616176
1459495817,4/1/16 3:30,5.759033,22.651,42.689,697,193,15.473319
1459496115,4/1/16 3:35,5.759033,22.643,42.682,694,192,15.3304615
1459496413,4/1/16 3:40,5.759033,22.637,42.639,691,191,15.187605
1459496711,4/1/16 3:45,5.759033,22.629,42.653,690,191,15.187605
1459497008,4/1/16 3:50,6.2190247,22.624,42.604,690,191,15.647596
1459497306,4/1/16 3:55,5.299011,22.612,42.592,685,190,14.584725
1459497604,4/1/16 4:00,5.759033,22.605,42.618,684,190,15.044747
1459497902,4/1/16 4:05,5.759033,22.599,42.661,680,189,14.901891
1459498200,4/1/16 4:10,5.759033,22.594,42.652,679,188,14.759033
